GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli,CLI.new LinkedHashMap() {...},0,17,0,0,0,4,0,1,0,1
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli,CLI,17,34,2,0,5,7,3,2,2,2
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands.metapath,MetapathCommand,0,18,0,0,0,6,0,3,0,3
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands.metapath,EvaluateMetapathCommand,113,184,7,5,30,61,8,7,2,7
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands.metapath,ListFunctionsSubcommand,24,180,2,12,3,37,3,12,1,7
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractValidateContentCommand,40,113,1,3,11,48,3,6,2,5
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,GenerateSchemaCommand,131,212,15,17,28,62,13,13,1,9
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractValidateContentCommand.AbstractValidationCommandExecutor,214,214,16,30,49,49,13,15,2,3
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractConvertSubcommand,109,0,4,0,34,0,8,0,6,0
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,MetaschemaCommands,18,77,0,0,5,22,0,4,0,4
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,GenerateDiagramCommand,134,104,14,6,28,27,11,8,1,8
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,AbstractConvertSubcommand.AbstractConversionCommandExecutor,218,0,24,0,49,0,15,0,3,0
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateModuleCommand.ValidateModuleCommandExecutor,66,39,5,1,13,13,5,4,2,4
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateContentUsingModuleCommand.OscalCommandExecutor,31,139,5,7,2,31,5,9,0,8
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateModuleCommand,0,14,0,0,0,4,0,4,0,4
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.commands,ValidateContentUsingModuleCommand,0,36,0,0,0,9,0,5,0,5
Metaschema Command Line Tool,gov.nist.secauto.metaschema.cli.util,LoggingValidationHandler,152,193,17,15,33,47,17,14,1,11
