GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractFlagInstanceNodeItem,27,5,2,0,9,2,2,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureFlagContainerItem,2,11,0,0,1,3,1,3,1,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureOrhpanedDefinitionModelNodeItem,0,4,0,0,0,2,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,DefaultNodeItemFactory,134,370,20,22,25,78,21,28,6,22
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyInstanceNodeItemImpl,40,0,0,0,11,0,5,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IAssemblyNodeItem,14,9,2,0,4,2,4,2,3,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractNodeItemFactory,82,222,10,26,12,49,11,26,3,16
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureRequiredDataItem,2,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDocumentBasedNodeItem,5,2,0,0,2,1,2,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,CycledAssemblyInstanceNodeItemImpl,16,17,0,0,4,6,4,4,4,4
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyOrphanedDefinitionDataNodeItemImpl,10,24,0,0,3,6,1,3,1,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDefinitionNodeItem,12,12,2,2,2,4,2,2,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureChildNodeItem,4,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IModuleNodeItem,17,4,0,0,5,1,5,1,5,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,DocumentNodeItemImpl,63,0,0,0,16,0,8,0,8,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractGlobalDefinitionNodeItem,8,13,0,0,2,5,2,3,2,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyOrphanedDefinitionNodeItemImpl,7,13,0,0,2,3,2,1,2,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,RootAssemblyValuedNodeItemImpl,46,0,0,0,14,0,7,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,INodeItemFactory,0,27,0,0,0,5,0,5,0,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IModelNodeItem,4,60,2,6,2,13,2,9,0,7
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagInstanceNoValueNodeItemImpl,2,5,0,0,1,2,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFlagNodeItem,20,15,2,0,7,5,7,5,6,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractRecursionPreventingNodeItemVisitor,0,46,0,4,0,12,0,7,0,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagGlobalDefinitionNodeItemImpl,2,7,0,0,1,3,1,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldInstanceNoValueNodeItemImpl,4,18,0,0,2,4,2,2,2,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractInstanceNodeItem,0,22,0,0,0,8,0,5,0,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IRootAssemblyNodeItem,22,0,0,0,7,0,7,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IAssemblyInstanceGroupedNodeItem,11,0,0,0,3,0,3,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractDefinitionNodeItem,0,9,0,0,0,4,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldGlobalDefinitionNodeItemImpl,2,16,0,0,1,4,1,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureFlagContainerItem.FlagContainer,0,16,0,0,0,5,0,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FlagInstanceNodeItemImpl,12,18,0,0,3,5,3,2,3,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldInstanceNodeItemImpl,21,34,0,0,5,8,4,3,4,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,RecursionCollectingNodeItemVisitor,5,70,0,4,1,17,1,7,1,5
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureNoDataAtomicValuedItem,2,0,0,0,1,0,1,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureNoDataValuedItem,4,0,0,0,2,0,2,0,2,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractNodeItemVisitor,32,129,4,10,5,26,7,14,3,11
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureModelContainerItem.ModelContainer,2,21,1,1,0,6,1,3,0,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,RecursionCollectingNodeItemVisitor.AssemblyRecord,0,30,0,0,0,11,0,6,0,6
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyGlobalDefinitionNodeItemImpl,2,18,0,0,1,4,1,2,1,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureModelContainerItem,0,9,0,0,0,2,0,2,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureOrhpanedDefinitionNodeItem,2,2,0,0,1,1,1,1,1,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IDocumentNodeItem,13,0,0,0,4,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFeatureAtomicValuedItem,17,0,2,0,6,0,2,0,1,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AssemblyInstanceNoValueNodeItemImpl,2,20,0,0,1,5,1,3,1,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,FieldOrphanedDefinitionNodeItemImpl,18,0,0,0,5,0,3,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,ModuleNodeItemImpl,8,22,0,0,3,6,3,3,3,3
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,AbstractOrphanedDefinitionNodeItem,12,23,1,1,4,7,4,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,IFieldNodeItem,18,5,2,0,5,1,5,1,4,1
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,INodeItem,50,82,5,7,12,16,12,13,8,11
Metaschema Core API,gov.nist.secauto.metaschema.core.metapath.item.node,NodeItemType,0,33,0,0,0,6,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,AbstractValidationResultProcessor,50,0,8,0,13,0,7,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IValidationResult.new IValidationResult() {...},6,3,0,0,3,1,3,1,3,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,JsonSchemaContentValidator.JsonValidationResult,21,0,2,0,5,0,4,0,3,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,JsonSchemaContentValidator.JsonValidationFinding,39,0,0,0,13,0,10,0,10,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IValidationResult,0,15,0,2,0,2,0,3,0,2
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IValidationFinding.Kind,0,27,0,0,0,5,0,1,0,1
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,JsonSchemaContentValidator,110,0,0,0,26,0,9,0,9,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,XmlSchemaContentValidator.XmlValidationErrorHandler,82,0,2,0,20,0,9,0,8,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,AggregateValidationResult,95,0,6,0,21,0,10,0,7,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,XmlSchemaContentValidator,134,0,6,0,29,0,8,0,5,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,IContentValidator,38,0,0,0,5,0,4,0,4,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,XmlSchemaContentValidator.XmlValidationFinding,72,0,4,0,19,0,16,0,14,0
Metaschema Core API,gov.nist.secauto.metaschema.core.model.validation,AbstractContentValidator,25,0,0,0,5,0,2,0,2,0
