GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Modules,org.schemastore.json.sarif.x210,ReportingDescriptor,35,34,0,0,11,17,10,8,10,8
Metaschema Modules,org.schemastore.json.sarif.x210,PropertyBag,62,0,6,0,16,0,11,0,8,0
Metaschema Modules,org.schemastore.json.sarif.x210,Message,69,14,6,0,18,7,14,3,11,3
Metaschema Modules,org.schemastore.json.sarif.x210,MultiformatMessageString,16,18,0,0,4,9,4,4,4,4
Metaschema Modules,org.schemastore.json.sarif.x210,Location,30,18,0,0,10,9,8,4,8,4
Metaschema Modules,org.schemastore.json.sarif.x210,LogicalLocation,48,14,0,0,18,7,13,3,13,3
Metaschema Modules,org.schemastore.json.sarif.x210,PhysicalLocation,30,18,0,0,10,9,8,4,8,4
Metaschema Modules,org.schemastore.json.sarif.x210,Tool,13,14,0,0,3,7,3,3,3,3
Metaschema Modules,org.schemastore.json.sarif.x210,Region,41,42,0,0,13,21,12,10,12,10
Metaschema Modules,org.schemastore.json.sarif.x210,ResultProvenance,76,0,6,0,22,0,15,0,12,0
Metaschema Modules,org.schemastore.json.sarif.x210,Artifact,13,14,0,0,3,7,3,3,3,3
Metaschema Modules,org.schemastore.json.sarif.x210,PhysicalLocation.Address,20,0,0,0,7,0,4,0,4,0
Metaschema Modules,org.schemastore.json.sarif.x210,Result,91,48,5,1,30,19,25,8,22,8
Metaschema Modules,org.schemastore.json.sarif.x210,ArtifactLocation,23,18,0,0,7,9,6,4,6,4
Metaschema Modules,org.schemastore.json.sarif.x210,SarifModule,10,17,0,0,5,6,5,3,5,3
Metaschema Modules,org.schemastore.json.sarif.x210,Run,61,50,10,2,13,15,15,5,9,5
Metaschema Modules,org.schemastore.json.sarif.x210,Sarif,37,32,5,1,8,11,9,4,6,4
Metaschema Modules,org.schemastore.json.sarif.x210,ReportingDescriptorReference,41,0,0,0,16,0,10,0,10,0
Metaschema Modules,org.schemastore.json.sarif.x210,ToolComponent,75,36,5,1,24,13,20,5,17,5
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.SeverityLevel,0,42,0,0,0,9,0,3,0,3
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.AbstractRuleRecord,0,23,0,0,0,6,0,3,0,3
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.SchemaRuleRecord,16,7,0,0,5,1,2,1,2,1
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler,103,277,21,13,20,66,18,12,4,9
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.Kind,0,56,0,0,0,11,0,3,0,3
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.ConstraintResult,7,88,2,4,1,23,2,4,0,3
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.ConstraintRuleRecord,8,136,8,8,1,38,8,3,0,3
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.AbstractResult,42,167,15,9,14,47,15,6,0,6
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.SchemaResult,60,0,0,0,13,0,2,0,2,0
Metaschema Modules,gov.nist.secauto.metaschema.modules.sarif,SarifValidationHandler.ArtifactRecord,0,41,0,0,0,10,0,4,0,4
