GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FieldValueTypeInfoImpl,13,83,2,6,1,18,2,6,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractInstanceTypeInfo,0,10,0,0,0,4,0,2,0,2
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,DefaultMetaschemaClassFactory,82,1285,8,54,14,249,8,39,0,16
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,INamedInstanceTypeInfo,0,18,0,2,0,4,0,2,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FlagInstanceTypeInfoImpl,20,186,4,16,2,38,3,12,0,5
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IPropertyTypeInfo,0,1,0,0,0,1,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFlagInstanceTypeInfo,6,0,0,0,1,0,1,0,1,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractModelInstanceTypeInfo,27,176,4,12,3,37,4,10,0,6
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractTypeInfo,0,51,0,0,0,11,0,6,0,6
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractGroupedNamedModelInstanceTypeInfo,42,78,1,3,9,21,1,5,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,GroupedAssemblyInstanceTypeInfo,0,20,0,0,0,5,0,3,0,3
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,TypeInfoUtils,11,68,1,7,1,13,1,4,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,GroupedFieldInstanceTypeInfo,20,0,0,0,5,0,3,0,3,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,INamedModelInstanceTypeInfo,0,5,0,0,0,2,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,FieldInstanceTypeInfoImpl,0,110,0,10,0,23,0,9,0,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IFieldValueTypeInfo,0,5,0,0,0,1,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AssemblyInstanceTypeInfoImpl,0,10,0,0,0,3,0,2,0,2
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ChoiceGroupTypeInfoImpl,31,184,9,13,2,39,8,8,0,5
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractNamedModelInstanceTypeInfo,26,535,5,25,4,92,5,17,0,7
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ITypeInfo,6,0,0,0,2,0,2,0,2,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,IMetaschemaClassFactory,0,3,0,0,0,1,0,1,0,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,DefaultTypeResolver,71,450,10,16,11,101,10,32,1,28
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,ITypeResolver,7,35,1,3,1,7,1,4,0,3
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.codegen.typeinfo,AbstractPropertyTypeInfo,12,130,3,3,0,30,3,5,0,5
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,TargetedAllowedValuesConstraint,124,36,12,0,36,13,23,11,17,11
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,TargetedIsUniqueConstraint,120,33,12,0,34,12,22,10,16,10
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,UseName,22,12,0,0,8,5,5,3,5,3
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,AssemblyReference,99,33,6,0,34,12,21,10,18,10
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,TargetedIndexHasKeyConstraint,124,36,12,0,36,13,23,11,17,11
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,TargetedMatchesConstraint,89,36,6,0,30,13,18,11,15,11
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,Any,14,6,0,0,4,3,3,1,3,1
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,Property,26,15,0,0,10,6,6,4,6,4
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,InlineDefineFlag,138,36,12,0,42,13,27,11,21,11
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,AssemblyModel,25,9,0,0,9,4,6,2,6,2
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,AssemblyModel.ChoiceGroup.Field,132,0,6,0,46,0,31,0,28,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,MetaschemaMetaConstraints.DefinitionContext,48,0,0,0,19,0,12,0,12,0
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,InlineDefineField,166,57,12,0,56,20,34,18,28,18
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,AssemblyModel.Choice,25,9,0,0,9,4,6,2,6,2
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,METASCHEMA.DefineFlag,145,36,12,0,45,13,29,11,23,11
Metaschema Java Data Binding and Code Generation,gov.nist.secauto.metaschema.databind.model.metaschema.binding,METASCHEMA.DefineAssembly.RootName,25,9,0,0,9,4,6,2,6,2
