GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,DataTypeJsonSchema,8,14,0,0,2,6,2,3,2,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,NamedModelInstanceJsonProperty,0,51,0,2,0,15,0,6,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractModelDefinitionJsonSchema,22,143,3,11,4,37,4,13,1,9
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractDefinitionJsonSchema,6,44,0,0,2,17,0,7,0,7
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,FlagInstanceJsonProperty,0,71,0,4,0,20,0,7,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,FieldDefinitionJsonSchema,18,195,4,14,3,52,4,11,0,6
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,FlagDefinitionJsonSchema,0,53,0,2,0,15,0,6,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractModelDefinitionJsonSchema.ComplexKey,5,87,6,6,2,18,6,7,0,7
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractJsonProperty,0,37,0,2,0,13,0,5,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,JsonGenerationState,38,290,5,15,5,72,6,25,2,19
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractDefineableJsonSchema,4,38,1,3,0,10,1,5,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AssemblyDefinitionJsonSchema,34,347,6,30,5,80,6,26,0,14
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,ChoiceGroupInstanceJsonProperty,4,63,1,5,0,16,1,8,0,6
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,IGroupableModelInstanceJsonProperty,5,12,0,2,1,2,1,3,1,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,DataTypeRestrictionDefinitionJsonSchema,22,132,2,7,4,33,3,12,1,8
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,IJsonProperty.PropertyCollection,0,120,0,8,0,26,0,12,0,8
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractNamedInstanceJsonProperty,4,10,0,0,2,3,2,2,2,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,JsonDatatypeManager,20,196,5,21,3,51,5,13,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,AbstractDefinitionJsonSchema.SimpleKey,5,69,6,6,2,15,6,7,0,7
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl,MetadataUtils,56,96,16,17,12,29,11,11,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json,JsonSchemaGenerator,25,222,4,12,5,61,4,15,0,11
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json,IDefineableJsonSchema.IKey,14,43,1,5,1,11,4,5,3,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json,IJsonGenerationState,8,0,0,0,1,0,1,0,1,0
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json,JsonSchemaGenerator.RootPropertyEntry,0,64,0,2,0,19,0,5,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json,IDefineableJsonSchema,13,42,0,2,4,11,1,4,1,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,XmlSimpleTypeUnion,17,114,3,11,4,29,4,7,1,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,IXmlType,14,24,1,1,5,6,1,2,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,IXmlSimpleType,2,0,0,0,1,0,1,0,1,0
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,AbstractXmlType,0,9,0,0,0,4,0,2,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,XmlComplexTypeAssemblyDefinition,62,399,14,51,8,103,13,30,0,9
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,IXmlComplexType,0,11,0,0,0,3,0,2,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,AbstractXmlComplexType,6,88,1,7,2,25,1,8,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,XmlSimpleTypeDataTypeReference,0,15,0,0,0,7,0,5,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,XmlSimpleTypeDataTypeRestriction,14,110,1,5,3,32,1,8,0,6
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,XmlComplexTypeFieldDefinition,4,63,1,5,0,19,1,5,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl.schematype,AbstractXmlSimpleType,5,16,0,0,1,6,1,4,1,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.datatype,AbstractDatatypeManager,0,152,0,0,0,31,0,6,0,6
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml,XmlSchemaGenerator,78,335,9,15,18,95,11,15,2,12
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml,XmlDatatypeManager,16,69,1,3,3,13,1,5,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,IInlineStrategy.new IInlineStrategy() {...},3,3,0,0,1,1,1,1,1,1
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,IInlineStrategy.new IInlineStrategy() {...},0,5,0,0,0,2,0,2,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,AbstractGenerationState.AllowedValueCollection,0,19,0,0,0,6,0,3,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,ModuleIndex.DefinitionEntry,68,98,15,7,13,24,16,14,8,11
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,ModuleIndex,9,68,2,4,1,14,3,7,1,6
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,IGenerationState,4,48,1,5,1,7,2,3,1,1
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,ISchemaGenerator.SchemaFormat,32,0,0,0,7,0,3,0,3,0
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,IInlineStrategy,3,28,1,3,1,8,1,3,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,FlagInstanceFilter,18,46,4,8,6,15,4,7,1,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,AbstractSchemaGenerator,10,69,2,8,5,19,2,6,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,AbstractGenerationState,3,166,1,13,2,41,1,15,0,9
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,ModuleIndex.IndexVisitor,0,113,0,14,0,34,0,19,0,12
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,SchemaGenerationException,16,0,0,0,8,0,4,0,4,0
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,ChoiceNotInlineStrategy,0,15,0,4,0,2,0,4,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,ISchemaGenerator,51,0,6,0,11,0,6,0,3,0
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen,SchemaGenerationFeature,0,23,0,0,0,6,0,2,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,AbstractDatatypeContent,0,19,0,0,0,6,0,3,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,XmlProseBaseDatatypeProvider,0,23,0,0,0,7,0,4,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,AbstractXmlDatatypeProvider,14,105,2,12,2,28,2,10,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,XmlProseCompositDatatypeProvider,0,38,0,2,0,9,0,3,0,2
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,XmlMarkupLineDatatypeProvider,0,7,0,0,0,3,0,3,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,XmlGenerationState,60,346,10,26,9,83,10,32,2,21
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,JDom2DatatypeContent,0,43,0,2,0,11,0,4,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,XmlCoreDatatypeProvider,2,69,0,2,0,17,1,8,1,7
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,XmlMarkupMultilineDatatypeProvider,0,7,0,0,0,3,0,3,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,AbstractXmlMarkupDatatypeProvider,0,44,0,2,0,10,0,6,0,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,DocumentationGenerator,6,217,2,24,2,64,2,21,0,10
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,JDom2XmlSchemaLoader,9,46,0,0,2,11,1,5,1,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.xml.impl,CompositeDatatypeProvider,22,38,0,2,5,9,3,4,3,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,IModelInstanceBuilder.IType,0,9,0,0,0,3,0,1,0,1
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,ArrayBuilder,0,51,1,5,0,12,1,5,0,3
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,SingletonOrListBuilder,19,84,0,2,5,21,3,7,3,6
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,AbstractCollectionBuilder.AbsoluteType,0,4,0,0,0,2,0,1,0,1
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,KeyedObjectBuilder,49,97,12,10,9,24,10,5,0,4
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,AbstractCollectionBuilder.Type,43,102,6,10,8,30,9,10,6,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,AbstractBuilder,0,3,0,0,0,1,0,1,0,1
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,AbstractCollectionBuilder,26,109,4,8,4,25,4,11,0,9
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,AbstractCollectionBuilder.GroupedType,0,4,0,0,0,2,0,1,0,1
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,SingletonBuilder,31,32,4,4,6,11,6,5,2,5
Metaschema XML and JSON Schema Generator,gov.nist.secauto.metaschema.schemagen.json.impl.builder,IModelInstanceBuilder,70,43,12,5,17,14,8,5,1,2
